"provenienza"	"id"	"type"	"condition"	"clumping"	"clump.abs"	"n.individuals"
"Colfiorito"	"Co01"	"C"	"Flooded"	0.3046875	39	128
"Colfiorito"	"Co01"	"R"	"Flooded"	0.3046875	39	128
"Colfiorito"	"Co02"	"C"	"Flooded"	0.2421875	31	128
"Colfiorito"	"Co02"	"R"	"Flooded"	0.2421875	31	128
"Colfiorito"	"Co03"	"C"	"Flooded"	1	173	173
"Colfiorito"	"Co03"	"R"	"Flooded"	1	173	173
"Colfiorito"	"Co04"	"C"	"Flooded"	0.342857142857143	12	35
"Colfiorito"	"Co04"	"R"	"Flooded"	0.342857142857143	12	35
"Colfiorito"	"Co09"	"C"	"Drought"	0.078125	5	64
"Colfiorito"	"Co09"	"R"	"Drought"	0.078125	5	64
"Colfiorito"	"Co10"	"R"	"Drought"	0.0344827586206897	2	58
"Colfiorito"	"Co11"	"C"	"Drought"	0	0	65
"Colfiorito"	"Co11"	"R"	"Drought"	0	0	65
"Colfiorito"	"Co12"	"C"	"Drought"	0.0377358490566038	2	53
"Colfiorito"	"Co12"	"R"	"Drought"	0.0377358490566038	2	53
"Trasimeno"	"Tr01"	"C"	"Flooded"	0.576923076923077	60	104
"Trasimeno"	"Tr01"	"R"	"Flooded"	0.576923076923077	60	104
"Trasimeno"	"Tr02"	"R"	"Flooded"	0.26984126984127	17	63
"Trasimeno"	"Tr03"	"C"	"Flooded"	0.964102564102564	188	195
"Trasimeno"	"Tr03"	"R"	"Flooded"	0.964102564102564	188	195
"Trasimeno"	"Tr04"	"C"	"Flooded"	0.836206896551724	97	116
"Trasimeno"	"Tr04"	"R"	"Flooded"	0.836206896551724	97	116
"Trasimeno"	"Tr09"	"C"	"Drought"	0.0377358490566038	2	53
"Trasimeno"	"Tr09"	"R"	"Drought"	0.0377358490566038	2	53
"Trasimeno"	"Tr10"	"C"	"Drought"	0.0563380281690141	4	71
"Trasimeno"	"Tr10"	"R"	"Drought"	0.0563380281690141	4	71
"Trasimeno"	"Tr11"	"C"	"Drought"	0.0571428571428571	4	70
"Trasimeno"	"Tr11"	"R"	"Drought"	0.0571428571428571	4	70
"Trasimeno"	"Tr12"	"C"	"Drought"	0.0769230769230769	5	65
"Trasimeno"	"Tr12"	"R"	"Drought"	0.0769230769230769	5	65
"Fucecchio"	"Fu01"	"C"	"Flooded"	0.130681818181818	23	176
"Fucecchio"	"Fu01"	"R"	"Flooded"	0.130681818181818	23	176
"Fucecchio"	"Fu02"	"C"	"Flooded"	0.354330708661417	45	127
"Fucecchio"	"Fu02"	"R"	"Flooded"	0.354330708661417	45	127
"Fucecchio"	"Fu04"	"C"	"Flooded"	0.272727272727273	48	176
"Fucecchio"	"Fu04"	"R"	"Flooded"	0.272727272727273	48	176
"Fucecchio"	"Fu06"	"C"	"Flooded"	0.276119402985075	37	134
"Fucecchio"	"Fu06"	"R"	"Flooded"	0.276119402985075	37	134
"Fucecchio"	"Fu09"	"C"	"Drought"	0	0	81
"Fucecchio"	"Fu09"	"R"	"Drought"	0	0	81
"Fucecchio"	"Fu10"	"C"	"Drought"	0	0	83
"Fucecchio"	"Fu10"	"R"	"Drought"	0	0	83
"Fucecchio"	"Fu11"	"C"	"Drought"	0	0	82
"Fucecchio"	"Fu11"	"R"	"Drought"	0	0	82
"Fucecchio"	"Fu12"	"C"	"Drought"	0	0	88
"Fucecchio"	"Fu12"	"R"	"Drought"	0	0	88
"Chiusi"	"Ch01"	"C"	"Floating_island"	0	0	31
"Chiusi"	"Ch01"	"R"	"Floating_island"	0	0	31
"Chiusi"	"Ch02"	"C"	"Floating_island"	0	0	17
"Chiusi"	"Ch02"	"R"	"Floating_island"	0	0	17
"Chiusi"	"Ch03"	"C"	"Floating_island"	0	0	57
"Chiusi"	"Ch03"	"R"	"Floating_island"	0	0	57
"Chiusi"	"Ch04"	"C"	"Flooded"	0.366336633663366	37	101
"Chiusi"	"Ch04"	"R"	"Flooded"	0.366336633663366	37	101
"Chiusi"	"Ch05"	"C"	"Flooded"	0.0648148148148148	7	108
"Chiusi"	"Ch05"	"R"	"Flooded"	0.0648148148148148	7	108
"Chiusi"	"Ch06"	"C"	"Flooded"	0.0520833333333333	5	96
"Chiusi"	"Ch06"	"R"	"Flooded"	0.0520833333333333	5	96
"Chiusi"	"Ch08"	"C"	"Drought"	0	0	100
"Chiusi"	"Ch08"	"R"	"Drought"	0	0	100
"Chiusi"	"Ch11"	"C"	"Drought"	0	0	60
"Chiusi"	"Ch11"	"R"	"Drought"	0	0	60
"Chiusi"	"Ch12"	"C"	"Drought"	0	0	90
"Chiusi"	"Ch12"	"R"	"Drought"	0	0	90
"Vico"	"Vi01"	"C"	"Flooded"	0.912350597609562	229	251
"Vico"	"Vi01"	"R"	"Flooded"	0.912350597609562	229	251
"Vico"	"Vi03"	"C"	"Flooded"	0.970464135021097	230	237
"Vico"	"Vi03"	"R"	"Flooded"	0.970464135021097	230	237
"Vico"	"Vi04"	"C"	"Flooded"	1	272	272
"Vico"	"Vi04"	"R"	"Flooded"	1	272	272
"Vico"	"Vi06"	"C"	"Flooded"	0.313432835820896	42	134
"Vico"	"Vi06"	"R"	"Flooded"	0.313432835820896	42	134
"Vico"	"Vi09"	"C"	"Drought"	0	0	105
"Vico"	"Vi09"	"R"	"Drought"	0	0	105
"Vico"	"Vi10"	"C"	"Drought"	0	0	70
"Vico"	"Vi10"	"R"	"Drought"	0	0	70
"Vico"	"Vi11"	"C"	"Drought"	0	0	75
"Vico"	"Vi11"	"R"	"Drought"	0	0	75
"Vico"	"Vi16"	"C"	"Drought"	0.0689655172413793	8	116
"Vico"	"Vi16"	"R"	"Drought"	0.0689655172413793	8	116
